fight_id,fight_title,winning_fighter_name,losing_fighter_name,weight_class,method_of_victory,specific_victory_details,ending_round,ending_time,fight_url,unique_round_id,unique_fight_id,unique_event_id,round_number,fighter_name,knockdowns,total_strikes_landed,total_strikes_attempted,takedowns,takedowns_attempted,submission_attempts,guard_passes,reversals,control_time,unique_round_id,unique_fight_id,unique_event_id,round_number,fighter_name,significant_strikes_head_landed,significant_strikes_head_attempted,significant_strikes_body_landed,significant_strikes_body_attempted,significant_strikes_leg_landed,significant_strikes_leg_attempted,significant_strikes_standing_landed,significant_strikes_standing_attempted,significant_strikes_clinch_landed,significant_strikes_clinch_attempted,significant_strikes_ground_landed,significant_strikes_ground_attempted,event_id,event_title,event_date,event_location,event_attendance,event_url
2367,"UFC Fight Night: Blachowicz vs. Jacare","Charles Oliveira","Jared Gordon",Lightweight,KO/TKO,Punch,1,1:26,7afe2a15ae7359e9,3839,2367,222,1,"Charles Oliveira",1,10,16,0,1,0,0,0,0:02,3839,2367,222,1,"Charles Oliveira",5,9,1,3,4,4,8,14,0,0,2,2,222,"UFC Fight Night: Blachowicz vs. Jacare",2019-11-16,"Sao Paulo, Sao Paulo, Bra","10,344",81ca2c245b19b3c5
2367,"UFC Fight Night: Blachowicz vs. Jacare","Charles Oliveira","Jared Gordon",Lightweight,KO/TKO,Punch,1,1:26,7afe2a15ae7359e9,3840,2367,222,1,"Jared Gordon",0,7,18,0,0,0,0,0,0:05,3840,2367,222,1,"Jared Gordon",7,16,0,2,0,0,7,18,0,0,0,0,222,"UFC Fight Night: Blachowicz vs. Jacare",2019-11-16,"Sao Paulo, Sao Paulo, Bra","10,344",81ca2c245b19b3c5
778,"UFC Fight Night: Assuncao vs. Moraes 2","Charles Oliveira","David Teymur",Lightweight,SUB,"Anaconda Choke",2,0:55,85036b967403cdab,3905,778,70,1,"Charles Oliveira",0,18,41,1,1,0,0,0,0:08,3905,778,70,1,"Charles Oliveira",10,24,3,11,2,3,15,36,0,2,0,0,70,"UFC Fight Night: Assuncao vs. Moraes 2",2019-02-02,"Fortaleza, Ceara, Brazil","10,040",84283233ec42be5f
778,"UFC Fight Night: Assuncao vs. Moraes 2","Charles Oliveira","David Teymur",Lightweight,SUB,"Anaconda Choke",2,0:55,85036b967403cdab,3906,778,70,1,"David Teymur",1,27,49,0,0,0,0,0,0:35,3906,778,70,1,"David Teymur",14,32,4,6,4,5,19,37,0,0,3,6,70,"UFC Fight Night: Assuncao vs. Moraes 2",2019-02-02,"Fortaleza, Ceara, Brazil","10,040",84283233ec42be5f
778,"UFC Fight Night: Assuncao vs. Moraes 2","Charles Oliveira","David Teymur",Lightweight,SUB,"Anaconda Choke",2,0:55,85036b967403cdab,3907,778,70,2,"Charles Oliveira",0,13,20,0,0,1,1,0,0:05,3907,778,70,2,"Charles Oliveira",11,18,1,1,1,1,6,9,7,11,0,0,70,"UFC Fight Night: Assuncao vs. Moraes 2",2019-02-02,"Fortaleza, Ceara, Brazil","10,040",84283233ec42be5f
778,"UFC Fight Night: Assuncao vs. Moraes 2","Charles Oliveira","David Teymur",Lightweight,SUB,"Anaconda Choke",2,0:55,85036b967403cdab,3908,778,70,2,"David Teymur",0,4,10,0,0,0,0,0,0:00,3908,778,70,2,"David Teymur",2,8,2,2,0,0,4,10,0,0,0,0,70,"UFC Fight Night: Assuncao vs. Moraes 2",2019-02-02,"Fortaleza, Ceara, Brazil","10,040",84283233ec42be5f
1851,"UFC Fight Night: Marreta vs. Anders","Charles Oliveira","Christos Giagos",Lightweight,SUB,"Rear Naked Choke",2,3:22,ba766bd03090dab9,3909,1851,174,1,"Charles Oliveira",0,12,29,1,3,0,1,0,0:41,3909,1851,174,1,"Charles Oliveira",6,17,2,5,4,7,11,27,1,2,0,0,174,"UFC Fight Night: Marreta vs. Anders",2018-09-22,"Sao Paulo, Sao Paulo, Bra","9,485",852454c572675334
1851,"UFC Fight Night: Marreta vs. Anders","Charles Oliveira","Christos Giagos",Lightweight,SUB,"Rear Naked Choke",2,3:22,ba766bd03090dab9,3910,1851,174,1,"Christos Giagos",0,13,48,0,0,0,0,0,0:07,3910,1851,174,1,"Christos Giagos",7,39,3,5,2,3,10,44,1,2,1,1,174,"UFC Fight Night: Marreta vs. Anders",2018-09-22,"Sao Paulo, Sao Paulo, Bra","9,485",852454c572675334
1851,"UFC Fight Night: Marreta vs. Anders","Charles Oliveira","Christos Giagos",Lightweight,SUB,"Rear Naked Choke",2,3:22,ba766bd03090dab9,3911,1851,174,2,"Charles Oliveira",0,16,31,1,1,1,2,0,0:40,3911,1851,174,2,"Charles Oliveira",7,18,5,9,4,4,14,28,0,1,2,2,174,"UFC Fight Night: Marreta vs. Anders",2018-09-22,"Sao Paulo, Sao Paulo, Bra","9,485",852454c572675334
1851,"UFC Fight Night: Marreta vs. Anders","Charles Oliveira","Christos Giagos",Lightweight,SUB,"Rear Naked Choke",2,3:22,ba766bd03090dab9,3912,1851,174,2,"Christos Giagos",0,7,34,0,0,0,0,0,0:00,3912,1851,174,2,"Christos Giagos",6,26,0,7,0,0,6,32,0,1,0,0,174,"UFC Fight Night: Marreta vs. Anders",2018-09-22,"Sao Paulo, Sao Paulo, Bra","9,485",852454c572675334
