fight_id,fight_title,winning_fighter_name,losing_fighter_name,weight_class,method_of_victory,specific_victory_details,ending_round,ending_time,fight_url,unique_round_id,unique_fight_id,unique_event_id,round_number,fighter_name,knockdowns,total_strikes_landed,total_strikes_attempted,takedowns,takedowns_attempted,submission_attempts,guard_passes,reversals,control_time,unique_round_id,unique_fight_id,unique_event_id,round_number,fighter_name,significant_strikes_head_landed,significant_strikes_head_attempted,significant_strikes_body_landed,significant_strikes_body_attempted,significant_strikes_leg_landed,significant_strikes_leg_attempted,significant_strikes_standing_landed,significant_strikes_standing_attempted,significant_strikes_clinch_landed,significant_strikes_clinch_attempted,significant_strikes_ground_landed,significant_strikes_ground_attempted,event_id,event_title,event_date,event_location,event_attendance,event_url
6278,"UFC Fight Night: Maia vs. Condit","Anthony Pettis","Charles Oliveira",Featherweight,SUB,"Guillotine Choke",3,1:49,51d3be5e8aee5cd9,14809,6278,629,3,"Anthony Pettis",0,9,11,0,0,1,1,1,0:25,14809,6278,629,3,"Anthony Pettis",3,4,0,1,0,0,3,5,0,0,0,0,629,"UFC Fight Night: Maia vs. Condit",2016-08-27,"Vancouver, British Columb","10,533",cfbccfed4e4796fe
6278,"UFC Fight Night: Maia vs. Condit","Anthony Pettis","Charles Oliveira",Featherweight,SUB,"Guillotine Choke",3,1:49,51d3be5e8aee5cd9,14810,6278,629,3,"Charles Oliveira",0,5,8,2,2,0,2,0,1:05,14810,6278,629,3,"Charles Oliveira",2,4,1,2,0,0,2,5,0,0,1,1,629,"UFC Fight Night: Maia vs. Condit",2016-08-27,"Vancouver, British Columb","10,533",cfbccfed4e4796fe
5943,"UFC Fight Night: Dos Anjos vs. Ferguson","Ricardo Lamas","Charles Oliveira",Featherweight,SUB,"Guillotine Choke",2,2:13,e322eae035f7c00f,14813,5943,598,1,"Ricardo Lamas",0,7,13,1,1,0,1,0,1:11,14813,5943,598,1,"Ricardo Lamas",3,9,0,0,2,2,3,8,0,0,2,3,598,"UFC Fight Night: Dos Anjos vs. Ferguson",2016-11-05,"Mexico City, Distrito Fed","11,460",6083f497c22cc075
5943,"UFC Fight Night: Dos Anjos vs. Ferguson","Ricardo Lamas","Charles Oliveira",Featherweight,SUB,"Guillotine Choke",2,2:13,e322eae035f7c00f,14814,5943,598,1,"Charles Oliveira",0,26,30,1,1,2,1,0,3:14,14814,5943,598,1,"Charles Oliveira",7,10,0,0,0,0,1,3,0,0,6,7,598,"UFC Fight Night: Dos Anjos vs. Ferguson",2016-11-05,"Mexico City, Distrito Fed","11,460",6083f497c22cc075
5943,"UFC Fight Night: Dos Anjos vs. Ferguson","Ricardo Lamas","Charles Oliveira",Featherweight,SUB,"Guillotine Choke",2,2:13,e322eae035f7c00f,14815,5943,598,2,"Ricardo Lamas",0,6,9,0,0,1,1,1,1:16,14815,5943,598,2,"Ricardo Lamas",4,5,1,3,1,1,5,7,0,0,1,2,598,"UFC Fight Night: Dos Anjos vs. Ferguson",2016-11-05,"Mexico City, Distrito Fed","11,460",6083f497c22cc075
5943,"UFC Fight Night: Dos Anjos vs. Ferguson","Ricardo Lamas","Charles Oliveira",Featherweight,SUB,"Guillotine Choke",2,2:13,e322eae035f7c00f,14816,5943,598,2,"Charles Oliveira",0,10,12,1,1,0,0,0,0:24,14816,5943,598,2,"Charles Oliveira",4,6,1,1,1,1,5,6,1,2,0,0,598,"UFC Fight Night: Dos Anjos vs. Ferguson",2016-11-05,"Mexico City, Distrito Fed","11,460",6083f497c22cc075
5117,"UFC 162: Silva vs Weidman","Frankie Edgar","Charles Oliveira",Featherweight,U-DEC,NULL,3,5:00,6453b20a65c62cfe,14821,5117,501,1,"Frankie Edgar",0,31,55,0,0,0,0,0,1:46,14821,5117,501,1,"Frankie Edgar",13,35,8,9,3,3,18,41,2,2,4,4,501,"UFC 162: Silva vs Weidman",2013-07-06,"Las Vegas, Nevada, USA","12,964",e0b74df14f52cd15
5117,"UFC 162: Silva vs Weidman","Frankie Edgar","Charles Oliveira",Featherweight,U-DEC,NULL,3,5:00,6453b20a65c62cfe,14822,5117,501,1,"Charles Oliveira",0,20,45,0,2,0,0,0,0:00,14822,5117,501,1,"Charles Oliveira",9,28,3,7,0,2,8,32,2,3,2,2,501,"UFC 162: Silva vs Weidman",2013-07-06,"Las Vegas, Nevada, USA","12,964",e0b74df14f52cd15
5117,"UFC 162: Silva vs Weidman","Frankie Edgar","Charles Oliveira",Featherweight,U-DEC,NULL,3,5:00,6453b20a65c62cfe,14823,5117,501,2,"Frankie Edgar",0,34,56,2,4,0,0,0,1:41,14823,5117,501,2,"Frankie Edgar",16,33,7,10,0,0,16,35,0,1,7,7,501,"UFC 162: Silva vs Weidman",2013-07-06,"Las Vegas, Nevada, USA","12,964",e0b74df14f52cd15
5117,"UFC 162: Silva vs Weidman","Frankie Edgar","Charles Oliveira",Featherweight,U-DEC,NULL,3,5:00,6453b20a65c62cfe,14824,5117,501,2,"Charles Oliveira",0,24,58,0,1,1,0,0,0:00,14824,5117,501,2,"Charles Oliveira",8,38,3,7,4,4,14,48,1,1,0,0,501,"UFC 162: Silva vs Weidman",2013-07-06,"Las Vegas, Nevada, USA","12,964",e0b74df14f52cd15
5117,"UFC 162: Silva vs Weidman","Frankie Edgar","Charles Oliveira",Featherweight,U-DEC,NULL,3,5:00,6453b20a65c62cfe,14825,5117,501,3,"Frankie Edgar",0,49,71,0,1,0,0,0,1:36,14825,5117,501,3,"Frankie Edgar",24,44,8,10,2,2,27,46,2,2,5,8,501,"UFC 162: Silva vs Weidman",2013-07-06,"Las Vegas, Nevada, USA","12,964",e0b74df14f52cd15
5117,"UFC 162: Silva vs Weidman","Frankie Edgar","Charles Oliveira",Featherweight,U-DEC,NULL,3,5:00,6453b20a65c62cfe,14826,5117,501,3,"Charles Oliveira",0,15,43,0,1,0,0,0,0:01,14826,5117,501,3,"Charles Oliveira",10,35,1,3,0,1,9,37,2,2,0,0,501,"UFC 162: Silva vs Weidman",2013-07-06,"Las Vegas, Nevada, USA","12,964",e0b74df14f52cd15
5287,"UFC 152: Jones vs Belfort","Cub Swanson","Charles Oliveira",Featherweight,KO/TKO,Punch,1,2:40,307b12b9f08a4cbf,14831,5287,517,1,"Cub Swanson",1,9,21,0,0,0,0,0,0:02,14831,5287,517,1,"Cub Swanson",6,13,2,3,1,5,9,20,0,0,0,1,517,"UFC 152: Jones vs Belfort",2012-09-22,"Toronto, Ontario, Canada","16,800",53e533db1b8e9712
