fight_id,fight_title,winning_fighter_name,losing_fighter_name,weight_class,method_of_victory,specific_victory_details,ending_round,ending_time,fight_url,unique_round_id,unique_fight_id,unique_event_id,round_number,fighter_name,knockdowns,total_strikes_landed,total_strikes_attempted,takedowns,takedowns_attempted,submission_attempts,guard_passes,reversals,control_time,unique_round_id,unique_fight_id,unique_event_id,round_number,fighter_name,significant_strikes_head_landed,significant_strikes_head_attempted,significant_strikes_body_landed,significant_strikes_body_attempted,significant_strikes_leg_landed,significant_strikes_leg_attempted,significant_strikes_standing_landed,significant_strikes_standing_attempted,significant_strikes_clinch_landed,significant_strikes_clinch_attempted,significant_strikes_ground_landed,significant_strikes_ground_attempted
2777,"UFC Fight Night: Swanson vs. Lobov","Al Iaquinta","Diego Sanchez",Lightweight,KO/TKO,Punch,1,1:38,2310fbcb6fdf3b47,60,2777,259,1,"Diego Sanchez",0,4,15,0,0,0,0,0,0:00,60,2777,259,1,"Diego Sanchez",2,13,2,2,0,0,4,14,0,1,0,0
906,"UFC 185: Pettis vs Dos Anjos","Rafael Dos Anjos","Anthony Pettis",Lightweight,U-DEC,NULL,5,5:00,39e6cba2480c6d82,77,906,84,1,"Anthony Pettis",0,24,65,0,0,0,0,0,0:00,77,906,84,1,"Anthony Pettis",15,54,3,5,1,1,19,58,0,2,0,0
906,"UFC 185: Pettis vs Dos Anjos","Rafael Dos Anjos","Anthony Pettis",Lightweight,U-DEC,NULL,5,5:00,39e6cba2480c6d82,78,906,84,1,"Rafael Dos Anjos",0,27,70,1,1,0,0,0,0:57,78,906,84,1,"Rafael Dos Anjos",9,46,14,19,1,1,19,56,3,7,2,3
906,"UFC 185: Pettis vs Dos Anjos","Rafael Dos Anjos","Anthony Pettis",Lightweight,U-DEC,NULL,5,5:00,39e6cba2480c6d82,79,906,84,2,"Anthony Pettis",0,19,35,0,0,0,0,0,0:00,79,906,84,2,"Anthony Pettis",4,18,3,4,0,0,6,20,1,1,0,1
906,"UFC 185: Pettis vs Dos Anjos","Rafael Dos Anjos","Anthony Pettis",Lightweight,U-DEC,NULL,5,5:00,39e6cba2480c6d82,80,906,84,2,"Rafael Dos Anjos",0,46,59,1,2,0,0,0,3:56,80,906,84,2,"Rafael Dos Anjos",16,25,1,2,4,4,7,14,1,1,13,16
906,"UFC 185: Pettis vs Dos Anjos","Rafael Dos Anjos","Anthony Pettis",Lightweight,U-DEC,NULL,5,5:00,39e6cba2480c6d82,81,906,84,3,"Anthony Pettis",0,19,43,0,0,0,0,0,0:00,81,906,84,3,"Anthony Pettis",7,30,0,1,1,1,8,32,0,0,0,0
906,"UFC 185: Pettis vs Dos Anjos","Rafael Dos Anjos","Anthony Pettis",Lightweight,U-DEC,NULL,5,5:00,39e6cba2480c6d82,82,906,84,3,"Rafael Dos Anjos",0,31,45,3,3,0,0,0,3:03,82,906,84,3,"Rafael Dos Anjos",8,20,6,7,7,7,14,23,4,4,3,7
906,"UFC 185: Pettis vs Dos Anjos","Rafael Dos Anjos","Anthony Pettis",Lightweight,U-DEC,NULL,5,5:00,39e6cba2480c6d82,83,906,84,4,"Anthony Pettis",0,14,27,0,1,0,0,0,0:52,83,906,84,4,"Anthony Pettis",5,18,3,3,1,1,9,22,0,0,0,0
906,"UFC 185: Pettis vs Dos Anjos","Rafael Dos Anjos","Anthony Pettis",Lightweight,U-DEC,NULL,5,5:00,39e6cba2480c6d82,84,906,84,4,"Rafael Dos Anjos",0,18,27,2,2,0,3,0,2:59,84,906,84,4,"Rafael Dos Anjos",4,9,3,4,3,4,8,12,2,4,0,1
906,"UFC 185: Pettis vs Dos Anjos","Rafael Dos Anjos","Anthony Pettis",Lightweight,U-DEC,NULL,5,5:00,39e6cba2480c6d82,85,906,84,5,"Anthony Pettis",0,20,35,0,0,0,0,0,0:00,85,906,84,5,"Anthony Pettis",7,21,2,3,2,2,11,26,0,0,0,0
